,0
0,-0.0
1,-9.348564998821567e-09
2,-3.7184545710285337e-08
3,-8.54133239646443e-08
4,-1.5735344964974313e-07
5,-2.5699002977834787e-07
6,-3.8620103929260924e-07
7,-5.371574350739594e-07
8,-6.710078221912495e-07
9,-6.5217865383664e-07
10,-0.0
11,-0.013085583161861291
12,-0.11107571332315724
13,-0.22313116891538382
14,-0.3635583733640609
15,-0.5540638568280495
16,-0.8291671073424625
17,-1.2470166791865875
18,-1.9115686438969464
19,-3.021629336106924
20,-4.992322450821651
21,-8.816778784387097
22,-0.04090678415275612
23,-0.19517100202277443
24,-0.3725633833050058
25,-0.5969527944212967
26,-0.9033122202681639
27,-1.3471879753568012
28,-2.0224077814571406
29,-3.096994881257068
30,-4.892475119460541
31,-8.080241176240524
32,-14.265847744427303
33,-0.05995345511933851
34,-0.20941802178497074
35,-0.38377607521329815
36,-0.6061374753589397
37,-0.9110606964461269
38,-1.3538525285106269
39,-2.0281960409116686
40,-3.1020177008651526
41,-4.896739790307349
42,-8.083452424401496
43,-14.265847744427305
44,-0.046239556228150167
45,-0.13565893759111325
46,-0.2421044949094492
47,-0.3788243916529292
48,-0.5667831993839091
49,-0.8400267813717407
50,-1.256411933628339
51,-1.919706348087832
52,-3.0285332194735157
53,-4.997519758718253
54,-8.816778784387099
55,0.0
56,1.1215482160696078e-08
57,3.906654666280048e-08
58,8.603237362930915e-08
59,1.5568796169164092e-07
60,2.5206596344853436e-07
61,3.7707111322576815e-07
62,5.231428265211025e-07
63,6.525382959765852e-07
64,6.335023099747429e-07
65,-1.83697019872103e-15
66,0.04623955622815015
67,0.1356589546751893
68,0.24210455628119765
69,0.37882452818032647
70,0.5667834476413458
71,0.840027184359158
72,1.2564125373025643
73,1.9197071861393538
74,3.028534264930048
75,4.997520773439052
76,8.816778784387095
77,0.05995345511933851
78,0.20941802556821662
79,0.38377609388108197
80,0.6061375206666186
81,0.9110607818715695
82,1.3538526695812108
83,2.028196253929854
84,3.102017997407201
85,4.896740159997545
86,8.083452782041414
87,14.265847744427303
88,0.04090678415275611
89,0.19517099205745977
90,0.37256335333314783
91,0.5969527322544829
92,0.90331211073815
93,1.347187800073494
94,2.022407520275858
95,3.096994518708558
96,4.892474665569949
97,8.08024073259398
98,14.265847744427305
99,0.013085583161861291
100,0.11107569542953873
101,0.2231311048650473
102,0.3635582310413035
103,0.5540635979571944
104,0.8291666866689
105,1.2470160480075851
106,1.911567765848666
107,3.0216282378145833
108,4.992321380814239
109,8.8167787843871
110,-0.0
111,-9.348564998821567e-09
112,-3.7184545710285337e-08
113,-8.54133239646443e-08
114,-1.5735344964974313e-07
115,-2.5699002977834787e-07
116,-3.8620103929260924e-07
117,-5.371574350739594e-07
118,-6.710078221912495e-07
119,-6.5217865383664e-07
120,-0.0
