,0
0,1.0
1,1.0301920411736718
2,1.1185668876555668
3,1.282557308669609
4,1.552628714613049
5,1.9822204210227496
6,2.6661604125681824
7,3.7782158727701347
8,5.654340308054438
9,8.999136433366326
10,15.5
11,0.9045084971874737
12,0.9280661057541749
13,1.0003437144611045
14,1.13371968436046
15,1.352556059947847
16,1.7001627781976385
17,2.2533743068236807
18,3.1528575139263366
19,4.670458379939435
20,7.376235856684036
21,12.635254915624213
22,0.6545084971874737
23,0.6641996625489138
24,0.6921785962357115
25,0.7431928860495001
26,0.8266046435883768
27,0.9590344383280148
28,1.169906539115422
29,1.51302294290749
30,2.092312046800203
31,3.125714485511212
32,5.135254915624212
33,0.34549150281252633
34,0.3347229341206103
35,0.3059496793860083
36,0.2541302061706851
37,0.16981722898900486
38,0.036403718744465026
39,-0.17547038103833623
40,-0.5194842610752776
41,-1.099274106212753
42,-2.131845478197134
43,-4.13525491562421
44,0.09549150281252633
45,0.06377574866534548
46,-0.012518447329406315
47,-0.14791008965557106
48,-0.36775117474199476
49,-0.7158306234616534
50,-1.269197341655096
51,-2.168537353751936
52,-3.685396416190837
53,-6.388429399212249
54,-11.63525491562421
55,0.0
56,-0.04156527672377336
57,-0.1363001637097282
58,-0.3034548058161811
59,-0.5748273892481927
60,-1.0046844832531112
61,-1.6883005241771127
62,-2.7995857394179815
63,-4.674205813001554
64,-8.015076867094447
65,-14.5
66,0.09549150281252627
67,0.06377578120937402
68,-0.012518374363886317
69,-0.14790996115696406
70,-0.36775096757858855
71,-0.7158303069636675
72,-1.269196881161751
73,-2.168536722718034
74,-3.6853956328660122
75,-6.388428639757283
76,-11.635254915624213
77,0.3454915028125262
78,0.33472298602975065
79,0.30594979529171357
80,0.254130410601702
81,0.16981755943866883
82,0.0364042247146897
83,-0.17546964377911506
84,-0.5194832499534281
85,-1.0992728506875686
86,-2.131844260949365
87,-4.1352549156242135
88,0.6545084971874736
89,0.6641997136804157
90,0.6921787095225089
91,0.7431930855165221
92,0.8266049662772672
93,0.9590349330806888
94,1.1699072607427894
95,1.5130239329510917
96,2.0923132758115406
97,3.1257156760193068
98,5.135254915624208
99,0.9045084971874737
100,0.9280661368026374
101,1.0003437821612131
102,1.1337198022548605
103,1.3525562495421062
104,1.7001630679673554
105,2.253374728505207
106,3.1528580910287527
107,4.670459094008429
108,7.376236545184738
109,12.63525491562421
110,1.0
111,1.0301920411736718
112,1.1185668876555668
113,1.282557308669609
114,1.552628714613049
115,1.9822204210227496
116,2.6661604125681824
117,3.7782158727701347
118,5.654340308054438
119,8.999136433366326
120,15.5
